Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Age_Group,Attrition_Status,Satisfaction_level,Wlb_Label
23,Male,Divorced,Marketing,Analyst,3,"? 14,084.00",69,5,7,7,2,1,4,38,Yes,7,47,11,1,2,2,3,3,No,20-29,0,Very Low,Average
48,Male,Single,Marketing,Executive,5,"? 7,465.00",18,27,6,0,1,1,4,63,No,4,36,11,1,4,2,46,3,No,40-49,0,Very Low,Poor
37,Female,Married,Finance,Executive,5,"? 7,946.00",72,18,3,2,1,5,2,56,No,8,34,1,3,4,2,28,2,No,30-39,0,Very High,Poor
45,Male,Divorced,Marketing,Manager,3,"? 13,514.00",84,29,2,4,4,5,4,81,Yes,9,38,17,1,2,3,12,3,Yes,40-49,1,Very High,Excellent
53,Female,Single,Finance,Analyst,4,"? 11,238.00",73,17,1,0,3,2,2,14,No,6,54,11,3,3,4,10,3,No,50-59,0,Low,Good
29,Male,Divorced,IT,Assistant,2,"? 6,661.00",40,18,2,5,2,3,2,79,No,6,46,17,3,1,1,13,1,No,20-29,0,Medium,Average
55,Female,Divorced,IT,Manager,3,"? 5,564.00",88,4,12,3,2,4,3,84,Yes,6,58,7,1,3,4,29,4,Yes,50-59,1,High,Average
33,Female,Single,Marketing,Analyst,5,"? 7,927.00",83,20,5,8,1,5,2,24,No,8,45,2,3,4,3,46,1,No,30-39,0,Very High,Poor
50,Female,Married,HR,Assistant,5,"? 13,858.00",53,1,1,1,3,2,1,87,No,2,42,13,1,1,1,23,3,No,50-59,0,Low,Good
34,Male,Single,Sales,Manager,2,"? 18,295.00",15,13,8,9,3,3,4,15,No,2,41,2,4,3,3,23,2,No,30-39,0,Medium,Good
27,Female,Divorced,HR,Assistant,1,"? 4,452.00",71,29,4,4,2,1,1,48,Yes,6,39,3,3,1,4,27,4,No,20-29,0,Very Low,Average
33,Male,Single,Marketing,Executive,3,"? 9,179.00",62,24,3,4,3,4,2,72,Yes,7,47,1,4,1,2,44,4,No,30-39,0,High,Good
42,Male,Divorced,Finance,Analyst,4,"? 5,454.00",86,10,10,5,1,5,2,78,Yes,6,49,13,2,4,3,6,3,No,40-49,0,Very High,Poor
59,Male,Single,HR,Assistant,2,"? 7,060.00",35,28,2,4,2,2,1,47,No,3,34,17,3,3,2,19,2,No,50-59,0,Low,Average
40,Male,Married,IT,Analyst,2,"? 17,747.00",45,15,1,9,4,1,1,76,Yes,6,36,8,4,4,1,25,1,No,40-49,0,Very Low,Excellent
35,Male,Married,Marketing,Manager,3,"? 14,955.00",72,24,8,9,4,3,4,59,No,3,50,1,2,4,1,13,3,Yes,30-39,1,Medium,Excellent
37,Female,Married,HR,Analyst,5,"? 11,970.00",61,24,9,8,1,2,1,60,No,1,58,4,3,1,4,11,2,No,30-39,0,Low,Poor
43,Male,Married,HR,Manager,5,"? 17,226.00",37,5,3,0,3,3,2,43,No,4,30,2,4,4,4,46,2,No,40-49,0,Medium,Good
45,Female,Single,Finance,Analyst,4,"? 16,119.00",89,26,3,7,2,5,4,23,No,4,49,14,4,3,3,6,2,No,40-49,0,Very High,Average
44,Female,Married,Finance,Manager,3,"? 16,384.00",94,18,9,5,1,2,4,50,No,2,50,5,4,2,3,46,1,No,40-49,0,Low,Poor
48,Male,Single,Finance,Manager,2,"? 4,601.00",21,4,7,8,2,4,1,32,Yes,6,44,15,4,1,1,19,4,No,40-49,0,High,Average
34,Female,Divorced,Sales,Manager,3,"? 6,843.00",63,1,12,9,2,1,2,11,No,5,41,2,2,3,3,23,3,No,30-39,0,Very Low,Average
20,Female,Divorced,Marketing,Assistant,1,"? 18,744.00",45,10,12,6,1,2,4,9,Yes,1,31,8,2,1,2,32,1,Yes,20-29,1,Low,Poor
44,Male,Divorced,Marketing,Executive,2,"? 6,675.00",61,17,9,2,4,5,2,30,No,2,46,6,1,2,2,43,2,No,40-49,0,Very High,Excellent
26,Female,Married,IT,Analyst,4,"? 15,049.00",82,28,2,7,2,5,2,55,Yes,6,43,10,4,1,2,49,1,No,20-29,0,Very High,Average
28,Male,Married,IT,Executive,4,"? 4,005.00",49,26,7,9,2,3,2,3,No,3,59,12,3,3,3,21,4,No,20-29,0,Medium,Average
43,Male,Married,Marketing,Executive,2,"? 3,231.00",89,3,14,2,2,3,1,35,No,7,47,6,4,4,4,36,3,No,40-49,0,Medium,Average
20,Male,Divorced,HR,Executive,5,"? 14,845.00",48,4,13,2,1,4,3,9,No,1,45,16,1,3,4,26,3,Yes,20-29,1,High,Poor
27,Female,Divorced,Marketing,Executive,2,"? 19,374.00",72,12,8,3,1,5,4,66,No,7,49,3,4,2,4,23,4,No,20-29,0,Very High,Poor
43,Female,Divorced,Sales,Analyst,2,"? 19,230.00",29,27,11,2,4,5,4,21,No,3,45,10,2,3,3,24,3,No,40-49,0,Very High,Excellent
30,Female,Divorced,IT,Analyst,1,"? 18,389.00",92,28,4,5,2,5,4,84,Yes,6,55,17,1,4,3,8,1,No,30-39,0,Very High,Average
36,Female,Single,IT,Executive,2,"? 7,970.00",99,11,13,6,1,1,3,37,No,1,32,19,3,2,1,4,4,No,30-39,0,Very Low,Poor
27,Male,Single,IT,Analyst,3,"? 18,092.00",85,3,10,2,2,1,4,45,No,1,43,16,4,2,2,16,2,No,20-29,0,Very Low,Average
54,Male,Married,Marketing,Analyst,3,"? 12,089.00",95,28,11,2,4,5,3,66,Yes,1,57,8,2,3,4,20,4,No,50-59,0,Very High,Excellent
54,Female,Married,IT,Manager,4,"? 17,867.00",56,11,4,6,3,1,1,28,No,6,37,19,1,2,2,21,1,Yes,50-59,1,Very Low,Good
52,Male,Divorced,IT,Analyst,5,"? 10,882.00",32,3,12,9,3,5,1,50,No,2,33,8,3,3,1,49,3,No,50-59,0,Very High,Good
24,Female,Single,Marketing,Assistant,4,"? 11,343.00",92,24,2,8,3,3,2,59,Yes,8,33,18,2,1,4,40,1,Yes,20-29,1,Medium,Good
58,Male,Single,HR,Executive,1,"? 19,555.00",52,4,2,2,4,3,4,58,No,9,50,5,2,2,4,48,3,No,50-59,0,Medium,Excellent
47,Male,Married,IT,Analyst,2,"? 8,524.00",78,3,4,5,1,1,4,4,Yes,6,30,1,2,3,2,47,2,No,40-49,0,Very Low,Poor
26,Male,Single,IT,Executive,4,"? 4,429.00",43,25,4,4,2,3,4,2,Yes,9,59,0,3,1,3,31,1,No,20-29,0,Medium,Average
28,Male,Married,IT,Analyst,2,"? 6,199.00",24,12,5,7,1,3,3,63,Yes,7,30,0,2,4,1,8,4,No,20-29,0,Medium,Poor
27,Male,Divorced,Sales,Executive,4,"? 13,090.00",31,12,10,8,3,4,1,93,No,3,45,19,4,2,3,35,4,No,20-29,0,High,Good
31,Female,Divorced,Marketing,Assistant,2,"? 10,432.00",46,17,14,7,3,4,2,46,Yes,9,42,7,3,4,3,29,3,No,30-39,0,High,Good
53,Female,Married,IT,Analyst,4,"? 17,069.00",75,24,10,0,2,5,2,39,Yes,7,55,13,3,3,3,6,2,No,50-59,0,Very High,Average
52,Male,Divorced,Sales,Analyst,3,"? 19,483.00",98,21,13,6,2,2,2,7,No,5,43,5,3,2,2,11,2,No,50-59,0,Low,Average
42,Female,Divorced,HR,Assistant,1,"? 16,875.00",95,8,10,7,4,2,4,55,No,7,50,13,4,2,2,25,2,Yes,40-49,1,Low,Excellent
43,Male,Single,HR,Analyst,4,"? 16,196.00",60,10,9,4,2,4,4,76,Yes,3,51,9,4,2,1,4,2,No,40-49,0,High,Average
56,Male,Single,Sales,Executive,3,"? 19,970.00",85,16,11,3,1,5,2,53,No,1,44,5,3,1,1,41,4,No,50-59,0,Very High,Poor
54,Male,Single,HR,Assistant,5,"? 14,159.00",70,19,9,6,1,4,2,83,No,3,32,10,1,4,4,31,1,No,50-59,0,High,Poor
59,Male,Single,Finance,Manager,4,"? 19,639.00",75,15,7,5,2,3,2,76,No,8,33,13,1,1,1,30,3,No,50-59,0,Medium,Average
41,Female,Single,HR,Executive,2,"? 6,007.00",58,22,6,1,1,5,1,5,Yes,4,44,1,3,1,1,18,3,No,40-49,0,Very High,Poor
46,Male,Married,Finance,Analyst,1,"? 16,966.00",52,11,10,8,1,5,4,73,No,6,37,17,4,4,4,34,2,No,40-49,0,Very High,Poor
54,Female,Married,Sales,Executive,3,"? 16,696.00",64,7,5,2,3,2,2,52,No,5,34,18,2,4,4,39,3,No,50-59,0,Low,Good
20,Male,Single,Finance,Assistant,3,"? 15,402.00",88,24,4,0,3,2,4,25,No,6,54,9,1,3,3,21,1,Yes,20-29,1,Low,Good
54,Male,Divorced,HR,Analyst,1,"? 8,112.00",46,7,2,2,2,2,1,69,Yes,1,47,15,1,3,3,32,2,No,50-59,0,Low,Average
56,Female,Divorced,IT,Analyst,4,"? 4,580.00",67,23,4,0,2,1,1,25,No,2,51,0,4,1,2,46,2,No,50-59,0,Very Low,Average
33,Male,Married,Finance,Assistant,2,"? 6,226.00",62,18,11,9,2,3,3,27,Yes,9,59,18,4,1,1,41,3,No,30-39,0,Medium,Average
22,Male,Married,HR,Manager,5,"? 7,590.00",95,19,7,6,3,3,3,75,No,3,54,6,3,3,3,7,4,No,20-29,0,Medium,Good
20,Female,Married,IT,Analyst,4,"? 19,465.00",15,16,1,5,1,3,4,52,No,2,43,14,1,4,1,22,3,No,20-29,0,Medium,Poor
24,Female,Divorced,Sales,Analyst,1,"? 6,012.00",44,22,3,7,4,3,4,60,No,5,50,12,2,2,1,34,1,No,20-29,0,Medium,Excellent
45,Female,Married,Sales,Analyst,4,"? 8,301.00",23,3,4,3,1,3,4,39,Yes,5,42,5,4,4,2,49,3,No,40-49,0,Medium,Poor
33,Male,Divorced,Marketing,Manager,4,"? 6,112.00",47,25,7,5,4,3,2,67,No,6,50,8,3,1,2,32,3,No,30-39,0,Medium,Excellent
58,Male,Married,Sales,Executive,1,"? 9,588.00",40,25,3,2,3,1,4,87,Yes,3,42,12,3,3,2,9,4,No,50-59,0,Very Low,Good
46,Female,Divorced,Marketing,Manager,1,"? 8,381.00",56,6,4,3,4,5,4,14,No,5,40,15,3,3,1,43,3,Yes,40-49,1,Very High,Excellent
28,Female,Married,Sales,Executive,5,"? 17,067.00",88,1,1,5,2,2,2,87,No,5,50,5,2,2,1,33,3,No,20-29,0,Low,Average
34,Male,Married,Sales,Analyst,1,"? 5,104.00",56,1,12,4,2,2,3,12,Yes,8,59,18,4,1,1,6,1,No,30-39,0,Low,Average
34,Male,Divorced,Sales,Executive,1,"? 10,726.00",53,15,1,1,2,2,2,66,No,5,56,14,2,2,2,24,4,No,30-39,0,Low,Average
45,Female,Married,Marketing,Executive,1,"? 12,790.00",75,20,10,8,2,3,1,90,Yes,1,35,7,4,1,4,15,1,No,40-49,0,Medium,Average
32,Female,Single,Marketing,Executive,3,"? 11,770.00",61,11,12,1,1,2,1,44,No,1,59,10,1,3,1,13,4,No,30-39,0,Low,Poor
51,Female,Divorced,Finance,Executive,1,"? 12,106.00",56,10,3,7,2,1,4,78,No,1,37,8,1,3,1,14,2,No,50-59,0,Very Low,Average
58,Female,Married,HR,Analyst,1,"? 17,006.00",62,24,7,4,4,3,4,25,Yes,9,45,1,4,2,4,14,4,Yes,50-59,1,Medium,Excellent
51,Male,Divorced,HR,Assistant,1,"? 3,774.00",66,3,13,6,3,3,4,55,Yes,7,37,1,4,3,2,10,3,No,50-59,0,Medium,Good
23,Male,Married,HR,Manager,5,"? 3,056.00",47,4,11,5,2,1,2,22,No,3,30,4,2,3,2,27,1,No,20-29,0,Very Low,Average
49,Male,Single,Sales,Executive,4,"? 10,226.00",41,12,6,1,1,5,3,38,No,2,49,5,4,4,4,45,2,No,40-49,0,Very High,Poor
56,Male,Married,HR,Analyst,1,"? 3,545.00",57,27,5,3,2,1,2,96,No,2,38,6,2,2,1,39,4,No,50-59,0,Very Low,Average
42,Female,Married,Marketing,Analyst,1,"? 7,906.00",43,6,8,8,2,1,4,20,Yes,6,43,4,1,3,2,13,3,No,40-49,0,Very Low,Average
58,Male,Single,Finance,Analyst,5,"? 12,605.00",33,27,11,6,1,1,3,13,No,6,41,10,4,1,4,39,2,No,50-59,0,Very Low,Poor
34,Female,Divorced,IT,Analyst,4,"? 9,395.00",96,25,8,0,3,5,1,12,Yes,6,51,2,2,1,1,12,1,No,30-39,0,Very High,Good
48,Male,Married,Finance,Executive,5,"? 17,501.00",42,20,4,3,1,2,3,31,No,2,34,1,2,1,2,45,4,No,40-49,0,Low,Poor
55,Male,Married,HR,Manager,2,"? 15,275.00",24,19,10,9,4,1,3,11,No,7,50,0,2,3,2,29,1,No,50-59,0,Very Low,Excellent
32,Male,Single,HR,Analyst,2,"? 6,388.00",81,26,6,2,1,3,2,62,Yes,3,43,18,4,1,3,12,2,No,30-39,0,Medium,Poor
51,Female,Divorced,Marketing,Manager,2,"? 13,821.00",30,26,12,0,4,2,3,51,No,1,43,1,2,1,4,40,3,No,50-59,0,Low,Excellent
26,Male,Divorced,Finance,Manager,1,"? 3,571.00",15,16,1,4,2,2,3,73,Yes,3,49,1,3,1,1,31,2,No,20-29,0,Low,Average
41,Female,Single,Marketing,Manager,5,"? 19,109.00",96,25,10,8,1,4,1,21,No,6,34,18,2,3,1,23,3,No,40-49,0,High,Poor
47,Female,Single,Marketing,Assistant,1,"? 6,927.00",18,23,14,3,2,1,3,46,Yes,7,59,19,4,4,2,45,3,No,40-49,0,Very Low,Average
21,Male,Married,IT,Analyst,2,"? 19,731.00",83,25,12,1,1,2,2,24,Yes,3,47,9,4,4,3,31,4,No,20-29,0,Low,Poor
25,Female,Single,Marketing,Analyst,4,"? 7,592.00",99,27,10,6,4,3,1,92,Yes,8,38,2,4,4,1,19,2,No,20-29,0,Medium,Excellent
47,Male,Single,Marketing,Analyst,4,"? 13,691.00",18,10,9,7,1,5,3,70,Yes,3,48,9,4,3,4,49,2,Yes,40-49,1,Very High,Poor
47,Female,Single,IT,Manager,5,"? 19,599.00",34,6,14,1,4,5,4,34,Yes,6,59,11,1,3,1,32,2,No,40-49,0,Very High,Excellent
39,Male,Divorced,Sales,Analyst,4,"? 9,613.00",77,20,5,9,2,2,3,92,No,2,30,3,2,1,1,1,1,No,30-39,0,Low,Average
49,Female,Single,Sales,Analyst,2,"? 14,092.00",97,5,14,8,1,5,1,79,No,9,58,10,1,1,4,13,4,No,40-49,0,Very High,Poor
30,Female,Married,IT,Manager,5,"? 11,477.00",49,10,8,9,1,4,3,71,Yes,7,58,11,2,3,1,35,4,Yes,30-39,1,High,Poor
47,Male,Married,Marketing,Analyst,5,"? 11,052.00",59,12,10,7,2,5,1,50,No,8,31,17,4,4,4,46,3,No,40-49,0,Very High,Average
44,Male,Married,HR,Executive,2,"? 6,059.00",71,18,10,3,1,5,1,58,Yes,2,50,12,3,2,1,9,1,No,40-49,0,Very High,Poor
58,Male,Single,Finance,Assistant,2,"? 3,050.00",38,3,1,3,4,5,2,72,No,4,41,8,1,3,2,13,1,No,50-59,0,Very High,Excellent
52,Male,Divorced,HR,Executive,2,"? 8,538.00",34,5,14,4,1,3,3,19,Yes,8,39,0,4,2,2,35,3,No,50-59,0,Medium,Poor
20,Female,Single,HR,Executive,2,"? 4,725.00",42,29,4,0,2,4,4,18,Yes,9,50,13,1,3,3,8,3,No,20-29,0,High,Average
46,Female,Single,Marketing,Executive,5,"? 18,410.00",52,3,13,6,1,4,1,15,No,4,56,16,4,1,1,44,4,No,40-49,0,High,Poor
32,Female,Married,Finance,Manager,4,"? 7,566.00",38,3,2,3,3,5,1,61,No,6,48,7,1,4,3,41,1,No,30-39,0,Very High,Good
22,Female,Single,Finance,Analyst,2,"? 14,495.00",98,9,2,0,1,2,2,28,No,5,51,15,3,4,4,11,4,No,20-29,0,Low,Poor
58,Male,Divorced,Sales,Executive,3,"? 10,857.00",38,4,2,3,1,3,2,97,No,6,49,10,1,4,1,35,3,No,50-59,0,Medium,Poor
25,Female,Married,IT,Executive,5,"? 13,909.00",84,20,2,3,1,2,2,91,Yes,3,31,4,2,1,4,18,1,No,20-29,0,Low,Poor
27,Male,Divorced,Marketing,Analyst,1,"? 10,826.00",39,17,8,0,2,1,1,33,No,5,33,11,4,4,3,14,2,Yes,20-29,1,Very Low,Average
46,Female,Divorced,Finance,Manager,4,"? 16,791.00",95,28,6,8,2,3,4,80,Yes,7,50,14,4,1,3,43,4,No,40-49,0,Medium,Average
28,Male,Divorced,Marketing,Executive,5,"? 7,533.00",95,7,9,7,4,5,1,3,No,4,35,11,1,3,1,2,3,No,20-29,0,Very High,Excellent
56,Male,Single,Sales,Analyst,2,"? 18,491.00",83,29,2,8,3,3,2,54,No,5,46,10,4,3,1,48,2,No,50-59,0,Medium,Good
52,Male,Single,HR,Analyst,3,"? 19,907.00",31,26,13,6,2,3,2,51,Yes,6,58,3,3,3,4,49,4,No,50-59,0,Medium,Average
43,Male,Single,Finance,Assistant,1,"? 7,601.00",72,13,1,4,3,2,2,97,No,9,52,12,3,4,2,15,1,No,40-49,0,Low,Good
34,Male,Single,Sales,Executive,4,"? 13,130.00",87,25,14,6,1,1,2,29,Yes,9,30,19,2,3,2,40,2,Yes,30-39,1,Very Low,Poor
51,Female,Married,Marketing,Executive,2,"? 4,204.00",34,28,8,1,1,3,1,58,Yes,9,59,15,3,4,1,48,4,No,50-59,0,Medium,Poor
51,Male,Single,Sales,Assistant,5,"? 7,082.00",16,24,10,9,1,1,2,63,No,1,49,7,2,3,1,23,4,Yes,50-59,1,Very Low,Poor
43,Female,Married,Sales,Analyst,5,"? 6,334.00",97,12,14,6,1,1,4,37,Yes,3,58,19,4,1,1,15,2,No,40-49,0,Very Low,Poor
31,Female,Divorced,Sales,Analyst,4,"? 3,711.00",23,18,13,3,3,2,4,29,No,2,39,11,1,4,2,45,1,No,30-39,0,Low,Good
58,Male,Married,Sales,Executive,3,"? 12,104.00",77,22,3,4,4,2,1,94,No,6,33,4,2,4,4,2,1,No,50-59,0,Low,Excellent
21,Female,Single,Sales,Executive,2,"? 8,710.00",97,26,3,6,3,5,2,42,Yes,9,30,16,4,3,4,21,4,No,20-29,0,Very High,Good
22,Female,Married,Sales,Assistant,4,"? 12,926.00",82,26,8,1,1,5,3,95,Yes,2,45,2,3,2,4,23,3,No,20-29,0,Very High,Poor
